NAME,geometry
HERVEY BAY AERODROME,"LINESTRING (17019436.161869947 -2915603.032329977, 17017991.235104203 -2914828.411985341)"
HERVEY BAY AERODROME,"LINESTRING (17019436.161869947 -2915603.032329977, 17017991.235104203 -2914828.411985341)"
MARYBOROUGH AIRPORT,"LINESTRING (17000555.262296345 -2939311.8668939373, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999783.818367004 -2938702.525770017)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999938.552518785 -2938014.2719326336)"
MARYBOROUGH AIRPORT,"LINESTRING (17000179.0024052 -2939764.5716739246, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000555.262296345 -2939311.8668939373, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999783.818367004 -2938702.525770017)"
MARYBOROUGH AIRPORT,"LINESTRING (17000179.0024052 -2939764.5716739246, 17000063.230237514 -2938923.3165193903)"
MARYBOROUGH AIRPORT,"LINESTRING (17000063.230237514 -2938923.3165193903, 16999938.552518785 -2938014.2719326336)"
,"LINESTRING (16759360.33200676 -4155113.4994186508, 16757654.917471118 -4156866.673028973)"
,"LINESTRING (16758988.524760658 -4156959.024608104, 16757654.917471118 -4156866.673028973)"
,"LINESTRING (16757654.917471118 -4156866.673028973, 16756536.156765554 -4156783.828890469)"
,"LINESTRING (16776247.493057821 -4183781.536742943, 16775453.785216888 -4183703.9372002725)"
,"LINESTRING (16775453.785216888 -4183703.9372002725, 16774459.702324139 -4183614.0857688556)"
,"LINESTRING (16775305.73037831 -4183145.7816861956, 16775453.785216888 -4183703.9372002725)"
,"LINESTRING (16775453.785216888 -4183703.9372002725, 16775787.743498873 -4184967.3784184083)"
LEIGH CREEK AERODROME,"LINESTRING (15409458.12309542 -3580380.3518316243, 15409608.404399687 -3580125.5857215417)"
LEIGH CREEK AERODROME,"LINESTRING (15409339.0112597 -3580307.9304739037, 15409458.12309542 -3580380.3518316243)"
LEIGH CREEK AERODROME,"LINESTRING (15409458.12309542 -3580380.3518316243, 15411006.576960156 -3581312.8142017955)"
LEIGH CREEK AERODROME,"LINESTRING (15408894.846503178 -3581334.8008741857, 15409458.12309542 -3580380.3518316243)"
QUILPIE AERODROME,"LINESTRING (16057894.107800214 -3074699.186551247, 16059504.900646359 -3074819.9586845962)"
MILINGIMBI AERODROME,"LINESTRING (15015584.273772147 -1356238.018194494, 15016891.164520534 -1356869.8681599656)"
RAMINGINING AEORODROME,"LINESTRING (15015421.746590046 -1386392.5517591648, 15016837.730447205 -1386435.8565047719)"
MANINGRIDA AERODROME,"LINESTRING (14942682.25579252 -1351669.7328094456, 14943483.756061707 -1353017.4931985394)"
GROOTE EYLANDT AERODROME,"LINESTRING (15189507.605369555 -1570872.0251144026, 15191438.998422807 -1571202.4002416353)"
GROOTE EYLANDT AERODROME,"LINESTRING (15189507.605369555 -1570872.0251144026, 15191438.998422807 -1571202.4002416353)"
GROOTE EYLANDT AERODROME,"LINESTRING (15189507.605369555 -1570872.0251144026, 15191438.998422807 -1571202.4002416353)"
GOVE AERODROME,"LINESTRING (15230384.126643192 -1376313.3849998643, 15232029.428599888 -1377636.0403206674)"
PORT LINCOLN AERODROME,"LINESTRING (15125759.307207277 -4111355.6678586793, 15126273.60323651 -4109600.147209836)"
TENNANT CREEK AERODROME,"LINESTRING (14936507.34465466 -2229761.790605119, 14937737.424938262 -2229410.764867941)"
TENNANT CREEK AERODROME,"LINESTRING (14936406.043927427 -2229702.694901655, 14936507.34465466 -2229761.790605119)"
TENNANT CREEK AERODROME,"LINESTRING (14935734.78744488 -2229982.8101404062, 14936502.891875356 -2229762.972520915, 14936507.34465466 -2229761.790605119)"
TENNANT CREEK AERODROME,"LINESTRING (14936507.34465466 -2229761.790605119, 14937372.297017995 -2230264.111513571)"
NGUKURR AERODROME,"LINESTRING (14999299.339002077 -1656950.534545493, 15000743.152700545 -1657600.8414642806)"
LAKE EVELLA AERODROME,"LINESTRING (15118359.987773618 -1402432.1528158786, 15117353.659622166 -1402470.9200793689)"
ELCHO ISLAND AERODROME,"LINESTRING (15091363.900798153 -1347781.5987201685, 15092822.186057769 -1347985.3267351503)"
COONABARABRAN AERODROME,"LINESTRING (16616698.908607803 -3676256.1549827, 16617098.545591325 -3675612.3500212687)"
COONABARABRAN AERODROME,"LINESTRING (16615100.361024268 -3675298.2790774046, 16616579.796766698 -3676271.794379073)"
DUBBO AERODROME,"LINESTRING (16539670.27271927 -3791811.5864242944, 16540204.606239818 -3791423.438604665)"
DUBBO AERODROME,"LINESTRING (16539161.542746373 -3791495.8040999398, 16539670.27271927 -3791811.5864242944)"
DUBBO AERODROME,"LINESTRING (16539670.27271927 -3791811.5864242944, 16540251.360346954 -3792172.114768258)"
DUBBO AERODROME,"LINESTRING (16538569.323028257 -3792608.973656817, 16539670.27271927 -3791811.5864242944)"
DUBBO AERODROME,"LINESTRING (16539670.27271927 -3791811.5864242944, 16540204.606239818 -3791423.438604665)"
DUBBO AERODROME,"LINESTRING (16539161.542746373 -3791495.8040999398, 16539670.27271927 -3791811.5864242944)"
DUBBO AERODROME,"LINESTRING (16539670.27271927 -3791811.5864242944, 16540251.360346954 -3792172.114768258)"
DUBBO AERODROME,"LINESTRING (16538569.323028257 -3792608.973656817, 16539670.27271927 -3791811.5864242944)"
MUDGEE AERODROME,"LINESTRING (16655137.50741944 -3837119.488858078, 16654832.492032384 -3837355.9131482258)"
MUDGEE AERODROME,"LINESTRING (16654832.492032384 -3837355.9131482258, 16653508.903364047 -3838379.5922947363)"
MUDGEE AERODROME,"LINESTRING (16654679.984455323 -3836334.963681102, 16654832.492032384 -3837355.9131482258)"
MUDGEE AERODROME,"LINESTRING (16654832.492032384 -3837355.9131482258, 16654869.227434315 -3837600.267267966)"
COOBER PEDY AERODROME,"LINESTRING (14997626.162409605 -3380193.978716057, 14996368.252292886 -3381299.176862975)"
,"LINESTRING (16903302.01083253 -3869185.582304387, 16901090.093064588 -3867302.4592497754)"
,"LINESTRING (16148243.113724379 -4439117.497509119, 16148816.409061857 -4438456.822606738)"
,"LINESTRING (16148243.113724379 -4439117.497509119, 16148816.409061857 -4438456.822606738)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16122985.83098253 -4530536.681100618)"
MELBOURNE AIRPORT,"LINESTRING (16121569.847214699 -4531591.263889571, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16124427.418029822 -4531824.692884751)"
MELBOURNE AIRPORT,"LINESTRING (16123662.652977718 -4535148.103250097, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123662.652977718 -4535148.103250097, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16122985.83098253 -4530536.681100618)"
MELBOURNE AIRPORT,"LINESTRING (16121569.847214699 -4531591.263889571, 16123160.602452306 -4531720.633531808)"
MELBOURNE AIRPORT,"LINESTRING (16123160.602452306 -4531720.633531808, 16124427.418029822 -4531824.692884751)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16131811.237753287 -4541489.852307862)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16130328.462516788 -4540035.988898385)"
ESSENDON AIRPORT,"LINESTRING (16129514.717048556 -4541575.710978227, 16130383.008929146 -4541543.337954054)"
ESSENDON AIRPORT,"LINESTRING (16130398.593617061 -4541989.532568143, 16130383.008929146 -4541543.337954054)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16131811.237753287 -4541489.852307862)"
ESSENDON AIRPORT,"LINESTRING (16130383.008929146 -4541543.337954054, 16130328.462516788 -4540035.988898385)"
ESSENDON AIRPORT,"LINESTRING (16129514.717048556 -4541575.710978227, 16130383.008929146 -4541543.337954054)"
ESSENDON AIRPORT,"LINESTRING (16130398.593617061 -4541989.532568143, 16130383.008929146 -4541543.337954054)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16114197.155404225 -4569477.917076921)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16113903.272062948 -4568734.183417025)"
,"LINESTRING (16114046.874035599 -4570447.532232588, 16113982.308808094 -4569671.268308883)"
,"LINESTRING (16113147.412708873 -4570426.360551066, 16113982.308808094 -4569671.268308883)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16114197.155404225 -4569477.917076921)"
,"LINESTRING (16113982.308808094 -4569671.268308883, 16113903.272062948 -4568734.183417025)"
,"LINESTRING (16114046.874035599 -4570447.532232588, 16113982.308808094 -4569671.268308883)"
,"LINESTRING (16113147.412708873 -4570426.360551066, 16113982.308808094 -4569671.268308883)"
MOORABBIN AIRPORT,"LINESTRING (16152420.921754599 -4575662.7123038415, 16152403.110660482 -4575417.000812853)"
MOORABBIN AIRPORT,"LINESTRING (16152334.092576971 -4575546.916500905, 16152420.921754599 -4575662.7123038415)"
MOORABBIN AIRPORT,"LINESTRING (16152989.764231343 -4575915.49059585, 16152763.785686472 -4576123.084021841)"
MOORABBIN AIRPORT,"LINESTRING (16152420.921754599 -4575662.7123038415, 16152763.785686472 -4576123.084021841)"
MOORABBIN AIRPORT,"LINESTRING (16152763.785686472 -4576123.084021841, 16152471.01545341 -4576392.820466461)"
MOORABBIN AIRPORT,"LINESTRING (16152471.01545341 -4576392.820466461, 16152420.921754599 -4575662.7123038415)"
MOORABBIN AIRPORT,"LINESTRING (16152471.01545341 -4576392.820466461, 16152308.48901212 -4576543.932432691)"
MOORABBIN AIRPORT,"LINESTRING (16152763.785686472 -4576123.084021841, 16153158.969763504 -4576656.914866435)"
MOORABBIN AIRPORT,"LINESTRING (16152519.995960921 -4577083.434318132, 16152471.01545341 -4576392.820466461)"
MOORABBIN AIRPORT,"LINESTRING (16152763.785686472 -4576123.084021841, 16153158.969763504 -4576656.914866435)"
MOORABBIN AIRPORT,"LINESTRING (16152519.995960921 -4577083.434318132, 16152471.01545341 -4576392.820466461)"
MOORABBIN AIRPORT,"LINESTRING (16152420.921754599 -4575662.7123038415, 16152403.110660482 -4575417.000812853)"
MOORABBIN AIRPORT,"LINESTRING (16152334.092576971 -4575546.916500905, 16152420.921754599 -4575662.7123038415)"
MOORABBIN AIRPORT,"LINESTRING (16152989.764231343 -4575915.49059585, 16152763.785686472 -4576123.084021841)"
MOORABBIN AIRPORT,"LINESTRING (16152420.921754599 -4575662.7123038415, 16152763.785686472 -4576123.084021841)"
MOORABBIN AIRPORT,"LINESTRING (16152763.785686472 -4576123.084021841, 16152471.01545341 -4576392.820466461)"
MOORABBIN AIRPORT,"LINESTRING (16152471.01545341 -4576392.820466461, 16152420.921754599 -4575662.7123038415)"
MOORABBIN AIRPORT,"LINESTRING (16152471.01545341 -4576392.820466461, 16152308.48901212 -4576543.932432691)"
WYNDHAM AERODROME,"LINESTRING (14265548.089582436 -1747341.6469507792, 14265539.184024274 -1747456.0151082554)"
WYNDHAM AERODROME,"LINESTRING (14265481.29789239 -1747415.5818589267, 14265539.184024274 -1747456.0151082554)"
WYNDHAM AERODROME,"LINESTRING (14265539.184024274 -1747456.0151082554, 14266834.94282259 -1748370.9801003858)"
WYNDHAM AERODROME,"LINESTRING (14265539.184024274 -1747456.0151082554, 14265421.185378276 -1748898.9493670398)"
KUNUNURRA AERODROME,"LINESTRING (14327035.406653604 -1778519.8618393696, 14328686.274601752 -1779466.1060573794)"
LAKE CARGELLIGO AERODROME,"LINESTRING (16293747.727944087 -3933139.324745176, 16294354.419107815 -3932835.713816719, 16294366.664250612 -3932829.055771098, 16295262.786061317 -3932380.3122938424)"
LAKE CARGELLIGO AERODROME,"LINESTRING (16293747.727944087 -3933139.324745176, 16294354.419107815 -3932835.713816719, 16294366.664250612 -3932829.055771098, 16295262.786061317 -3932380.3122938424)"
EMERALD AERODROME,"LINESTRING (16495098.05387758 -2701086.2952935854, 16496296.964719623 -2700664.8629701054)"
EMERALD AERODROME,"LINESTRING (16494352.213335188 -2701348.6334290477, 16495098.05387758 -2701086.2952935854)"
EMERALD AERODROME,"LINESTRING (16495098.05387758 -2701086.2952935854, 16494784.132991651 -2700522.7685330925)"
CAMBRIDGE AERODROME,"LINESTRING (16417810.921645127 -5286210.290610296, 16417219.815289492 -5286032.695404219)"
CAMBRIDGE AERODROME,"LINESTRING (16416672.123631144 -5284871.579174684, 16417079.552791806 -5285733.675265648, 16417219.815289492 -5286032.695404219)"
CAMBRIDGE AERODROME,"LINESTRING (16417219.815289492 -5286032.695404219, 16417250.984733546 -5286097.96502652)"
CAMBRIDGE AERODROME,"LINESTRING (16417219.815289492 -5286032.695404219, 16416688.821444577 -5285873.3179531945, 16416546.33253019 -5285830.817756731)"
HOBART AIRPORT,"LINESTRING (16422018.797324052 -5288156.468372003, 16419855.860295659 -5285975.015936993)"
,"LINESTRING (16832436.03485907 -3849351.08399873, 16832513.958548214 -3848839.419654736)"
,"LINESTRING (16832513.958548214 -3848839.419654736, 16832611.9197585 -3848186.3195639174)"
,"LINESTRING (16832439.3745232 -3848623.9190661544, 16832513.958548214 -3848839.419654736)"
,"LINESTRING (16832513.958548214 -3848839.419654736, 16832616.37243283 -3849139.540515861)"
CROKER ISLAND AERODROME,"LINESTRING (14747375.558878675 -1249999.3659900478, 14748465.37663381 -1251122.6804631902)"
MAROOCHYDORE AERODROME,"LINESTRING (17041885.943766322 -3074928.371977686, 17042072.96057531 -3074176.359250755, 17042076.300161213 -3074162.6640229053)"
MAROOCHYDORE AERODROME,"LINESTRING (17041498.55211243 -3073723.1786258323, 17042076.300161213 -3074162.6640229053)"
MAROOCHYDORE AERODROME,"LINESTRING (17042076.300161213 -3074162.6640229053, 17042372.410109293 -3072967.4948564223)"
KINGAROY AERODROME,"LINESTRING (16902578.521513674 -3070367.087902496, 16902919.158929944 -3072163.2867063098)"
COROWA AERODROME,"LINESTRING (16291057.10354174 -4300556.277610615, 16292312.787277794 -4299653.674788974)"
COROWA AERODROME,"LINESTRING (16292312.787277794 -4299653.674788974, 16292829.309665598 -4299283.574297158)"
COROWA AERODROME,"LINESTRING (16291230.762136644 -4298158.215838874, 16292312.787277794 -4299653.674788974)"
COROWA AERODROME,"LINESTRING (16292210.373347389 -4299822.907111991, 16292781.442280529 -4299412.9016711665)"
COROWA AERODROME,"LINESTRING (16292210.373347389 -4299822.907111991, 16291122.782238707 -4298260.01606008)"
COROWA AERODROME,"LINESTRING (16290937.991689289 -4300737.907995793, 16292210.373347389 -4299822.907111991)"
BORROLOOLA AERODROME,"LINESTRING (15172867.561198846 -1814088.2710566272, 15173374.064888263 -1812882.2770789163)"
MCARTHUR RIVER MINE AERODROME,"LINESTRING (15147968.730962148 -1856222.119954942, 15149438.148163743 -1855661.5227915093)"
JACKSON AERODROME,"LINESTRING (15852439.530510636 -3203359.3698335043, 15852646.584598932 -3205556.0303563206)"
TOWNSVILLE INTERNATIONAL AIRPORT,"LINESTRING (16336772.85065424 -2185052.7142004785, 16337991.799016248 -2184711.9397664485)"
TOWNSVILLE INTERNATIONAL AIRPORT,"LINESTRING (16338850.072362926 -2182986.9345668852, 16337791.423897993 -2185342.790065839)"
CLEVE AERODROME,"LINESTRING (15195111.343683591 -3989884.9587076236, 15195472.018778142 -3989888.9733200837, 15196669.816314459 -3989899.678969512)"
CLEVE AERODROME,"LINESTRING (15194828.592220562 -3989882.2822984317, 15195111.343683591 -3989884.9587076236)"
COWELL AERODROME,"LINESTRING (15238334.469193533 -3983347.0402779207, 15238426.86427842 -3985258.3987923935)"
PORT PIRIE AERODROME,"LINESTRING (15361118.738169504 -3926939.4464530773, 15362090.557178149 -3926939.4464984722)"
PORT PIRIE AERODROME,"LINESTRING (15361775.523044538 -3927414.5998933157, 15362090.557173034 -3927049.914607685)"
PORT PIRIE AERODROME,"LINESTRING (15361118.738169504 -3926939.4464530773, 15361118.738188954 -3926518.8786698105)"
PORT PIRIE AERODROME,"LINESTRING (15361118.738169504 -3926939.4464530773, 15361118.738127887 -3927839.1931351107)"
PORT PIRIE AERODROME,"LINESTRING (15362090.557178149 -3926939.4464984722, 15362361.063500144 -3926939.446511116)"
STREAKY BAY AERODROME,"LINESTRING (14948809.219160117 -3873100.971571267, 14950039.299321592 -3874119.805565571)"
CEDUNA AERODROME,"LINESTRING (14883207.542112818 -3780127.8253858024, 14885114.444695208 -3780853.4481031243)"
WHYALLA AIRPORT,"LINESTRING (15307128.794292739 -3903150.6533940784, 15308471.307194466 -3902161.169091286)"
WHYALLA AIRPORT,"LINESTRING (15308471.307194466 -3902161.169091286, 15308554.796802944 -3902096.0918498766)"
WHYALLA AIRPORT,"LINESTRING (15308461.288446091 -3902062.8893091865, 15308471.307194466 -3902161.169091286)"
WHYALLA AIRPORT,"LINESTRING (15308471.307194466 -3902161.169091286, 15308672.795357801 -3904100.3715705033)"
,"LINESTRING (12896589.061549714 -3693506.7550374437, 12899062.580246504 -3692848.991581342)"
,"LINESTRING (12914684.043905945 -3719710.392480279, 12915536.751030477 -3718852.4199969866, 12915517.826718468 -3718832.8024346586)"
,"LINESTRING (12914621.704959115 -3719068.2153449804, 12914684.043905945 -3719710.392480279)"
,"LINESTRING (12914519.291093485 -3719877.8088096995, 12914684.043905945 -3719710.392480279)"
,"LINESTRING (12914081.805584658 -3720321.211641589, 12914519.291093485 -3719877.8088096995)"
,"LINESTRING (12914717.439889222 -3721926.2296455856, 12914519.291093485 -3719877.8088096995)"
,"LINESTRING (12914684.043905945 -3719710.392480279, 12914927.833697157 -3721927.537801766)"
THARGOMINDAH AERODROME,"LINESTRING (16009656.025990238 -3247882.849502646, 16008607.39660094 -3246597.026852651)"
THARGOMINDAH AERODROME,"LINESTRING (16009656.025990238 -3247882.849502646, 16008607.39660094 -3246597.026852651)"
LEONORA AERODROME,"LINESTRING (13505206.015273524 -3359564.9564762656, 13504621.588050228 -3360350.5964256683)"
LEONORA AERODROME,"LINESTRING (13504621.588050228 -3360350.5964256683, 13503680.938519416 -3361613.057541993)"
LEONORA AERODROME,"LINESTRING (13504621.588050228 -3360350.5964256683, 13505016.772205956 -3360724.363850916)"
LEONORA AERODROME,"LINESTRING (13503969.255894475 -3359731.4879436204, 13504621.588050228 -3360350.5964256683)"
ORANGE AERODROME,"LINESTRING (16600429.540301682 -3945600.909043955, 16602068.162852786 -3946788.739795194)"
ORANGE AERODROME,"LINESTRING (16601054.042627659 -3944891.734954712, 16600313.76806107 -3945468.935368953)"
COWRA AERODROME,"LINESTRING (16547096.37378593 -4007140.712440646, 16547293.409197187 -4007733.102089729)"
COWRA AERODROME,"LINESTRING (16547293.409197187 -4007733.102089729, 16547305.6543358 -4007769.289780812, 16547795.459878324 -4009236.9980680463)"
COWRA AERODROME,"LINESTRING (16546828.093741836 -4008253.1435349733, 16547293.409197187 -4007733.102089729)"
COWRA AERODROME,"LINESTRING (16547293.409197187 -4007733.102089729, 16547888.968452042 -4007069.681431596)"
BATHURST AERODROME,"LINESTRING (16659079.318559902 -3948716.7298743073, 16659126.07266586 -3949427.471646239)"
BATHURST AERODROME,"LINESTRING (16659126.07266586 -3949427.471646239, 16659129.412244314 -3949483.4794178642, 16659209.562138796 -3950715.718913771)"
BATHURST AERODROME,"LINESTRING (16658888.962184431 -3949424.8045915035, 16659126.07266586 -3949427.471646239)"
BATHURST AERODROME,"LINESTRING (16659126.07266586 -3949427.471646239, 16660469.698727058 -3949444.8074963926)"
HAY AERODROME,"LINESTRING (16122929.093854904 -4099902.4493879196, 16122521.66454562 -4100337.5472297887)"
HAY AERODROME,"LINESTRING (16122521.66454562 -4100337.5472297887, 16121715.711485758 -4101198.33383336)"
HAY AERODROME,"LINESTRING (16122521.66454562 -4100337.5472297887, 16122636.323582666 -4100594.289903325)"
HAY AERODROME,"LINESTRING (16122063.02839311 -4099363.329635123, 16122081.952700347 -4099403.8640531427)"
HAY AERODROME,"LINESTRING (16122081.952700347 -4099403.8640531427, 16122521.66454562 -4100337.5472297887)"
MOUNT ISA AERODROME,"LINESTRING (15527510.261478081 -2350727.1451139716, 15527662.769134868 -2351429.0587012693, 15528102.480991982 -2353452.8638603985)"
,"LINESTRING (15230036.728910064 -3650318.140663702, 15229772.90164509 -3653079.4914196148)"
MORUYA AERODROME,"LINESTRING (16714333.816841299 -4286803.892265699, 16714110.064682474 -4286961.930492489)"
MORUYA AERODROME,"LINESTRING (16714110.064682474 -4286961.930492489, 16713488.901973711 -4287393.455257577)"
MORUYA AERODROME,"LINESTRING (16714459.608029602 -4285124.705881997, 16714110.064682474 -4286961.930492489)"
MORUYA AERODROME,"LINESTRING (16714110.064682474 -4286961.930492489, 16714082.234797768 -4287111.725386526)"
WOLLONGONG AERODROME,"LINESTRING (16784937.099975646 -4104535.413584818, 16785611.695983957 -4104593.5397563186)"
WOLLONGONG AERODROME,"LINESTRING (16785611.695983957 -4104593.5397563186, 16786534.534418188 -4104669.2394119105)"
WOLLONGONG AERODROME,"LINESTRING (16785326.718294248 -4103101.281165537, 16785611.695983957 -4104593.5397563186)"
WOLLONGONG AERODROME,"LINESTRING (16785611.695983957 -4104593.5397563186, 16785735.260528583 -4105245.113322666)"
CORRYONG AERODROME,"LINESTRING (16461846.776053919 -4326176.969147195, 16463561.095991047 -4325630.805574742)"
NARROMINE AERODROME,"LINESTRING (16499001.928804247 -3790755.0603235103, 16500424.591617675 -3791640.532848311)"
NARROMINE AERODROME,"LINESTRING (16500098.425531192 -3791882.6347439685, 16500424.591617675 -3791640.532848311)"
NARROMINE AERODROME,"LINESTRING (16500424.591617675 -3791640.532848311, 16500468.006216282 -3791607.6389469644, 16501411.995436218 -3790903.7311337446)"
NARROMINE AERODROME,"LINESTRING (16500424.591617675 -3791640.532848311, 16501157.073723515 -3792095.7938590944)"
LOCKHART RIVER AERODROME,"LINESTRING (15953482.10747233 -1435907.4914920302, 15951963.709751401 -1434848.176146719)"
NHILL AERODROME,"LINESTRING (15767459.281866295 -4343345.500046231, 15767618.468709162 -4343381.41737896)"
NHILL AERODROME,"LINESTRING (15767618.468709162 -4343381.41737896, 15768669.324511152 -4343616.264430115)"
NHILL AERODROME,"LINESTRING (15767618.468709162 -4343381.41737896, 15767690.826401893 -4342848.195605751)"
NHILL AERODROME,"LINESTRING (15767499.356815748 -4344247.613678413, 15767618.468709162 -4343381.41737896)"
HORSHAM AERODROME,"LINESTRING (15826437.447973361 -4393094.051870183, 15826498.673682967 -4393094.051874517)"
HORSHAM AERODROME,"LINESTRING (15826498.673682967 -4393094.051874517, 15828083.86296384 -4393102.379124064)"
HORSHAM AERODROME,"LINESTRING (15826498.673682967 -4393094.051874517, 15826522.050699031 -4394134.994358807)"
WARRACKNABEAL AERODROME,"LINESTRING (15853411.272662189 -4345047.566172755, 15853966.756831516 -4345010.261686659)"
WARRACKNABEAL AERODROME,"LINESTRING (15853966.756831516 -4345010.261686659, 15855108.894622615 -4344932.889830525)"
WARRACKNABEAL AERODROME,"LINESTRING (15853985.681123924 -4345261.724326364, 15853966.756831516 -4345010.261686659)"
